,station_id,bikes_available,docks_available,time
35499364,90,0,0,8/24/2016 12:26:58
35499365,90,0,0,8/24/2016 12:27:52
35499366,90,0,0,8/24/2016 12:28:54
35499367,90,0,0,8/24/2016 12:30:01
35499368,90,0,0,8/24/2016 12:31:01
35499369,90,12,19,8/24/2016 12:31:59
35499370,90,12,19,8/24/2016 12:33:00
35499371,90,13,18,8/24/2016 12:34:47
35499372,90,13,18,8/24/2016 12:35:55
35499373,90,13,18,8/24/2016 12:37:01
35499374,90,13,18,8/24/2016 12:38:46
35499375,90,13,18,8/24/2016 12:40:01
35499376,90,13,18,8/24/2016 12:40:56
35499377,90,13,18,8/24/2016 12:42:02
35499378,90,13,18,8/24/2016 12:44:01
35499379,90,13,18,8/24/2016 12:45:01
35499380,90,13,18,8/24/2016 12:45:55
35499381,90,13,18,8/24/2016 12:48:01
35499382,90,13,18,8/24/2016 12:49:01
35499383,90,13,18,8/24/2016 12:50:01
35499384,90,13,18,8/24/2016 12:51:01
35499385,90,13,18,8/24/2016 12:51:52
35499386,90,13,18,8/24/2016 12:53:59
35499387,90,13,18,8/24/2016 12:56:00
35499388,90,13,18,8/24/2016 12:58:01
35499389,90,13,18,8/24/2016 12:58:53
35499390,90,13,18,8/24/2016 13:00:01
35499391,90,12,19,8/24/2016 13:02:01
35499392,90,12,19,8/24/2016 13:03:48
35499393,90,12,19,8/24/2016 13:04:53
35499394,90,12,19,8/24/2016 13:05:56
35499395,90,12,19,8/24/2016 13:06:55
35499396,90,12,19,8/24/2016 13:08:00
35499397,90,13,18,8/24/2016 13:09:01
35499398,90,13,18,8/24/2016 13:10:01
35499399,90,13,18,8/24/2016 13:10:59
35499400,90,13,18,8/24/2016 13:11:52
35499401,90,13,18,8/24/2016 13:12:47
35499402,90,13,18,8/24/2016 13:13:56
35499403,90,13,18,8/24/2016 13:14:57
35499404,90,13,18,8/24/2016 13:15:53
35499405,90,13,18,8/24/2016 13:18:01
35499406,90,13,18,8/24/2016 13:19:01
35499407,90,13,18,8/24/2016 13:20:01
35499408,90,13,18,8/24/2016 13:20:54
35499409,90,13,18,8/24/2016 13:21:48
35499410,90,13,18,8/24/2016 13:22:40
35499411,90,14,17,8/24/2016 13:23:47
35499412,90,13,18,8/24/2016 13:24:55
35499413,90,13,18,8/24/2016 13:25:57
35499414,90,13,18,8/24/2016 13:27:52
35499415,90,13,18,8/24/2016 13:28:51
35499416,90,13,18,8/24/2016 13:30:46
35499417,90,13,18,8/24/2016 13:32:01
35499418,90,13,18,8/24/2016 13:33:01
35499419,90,13,18,8/24/2016 13:34:00
35499420,90,13,18,8/24/2016 13:35:56
35499421,90,13,18,8/24/2016 13:37:00
35499422,90,13,18,8/24/2016 13:38:52
35499423,90,13,18,8/24/2016 13:40:53
35499424,90,13,18,8/24/2016 13:41:57
35499425,90,13,18,8/24/2016 13:42:48
35499426,90,13,18,8/24/2016 13:44:02
35499427,90,13,18,8/24/2016 13:46:01
35499428,90,13,18,8/24/2016 13:47:49
35499429,90,13,18,8/24/2016 13:49:01
35499430,90,13,18,8/24/2016 13:49:56
35499431,90,13,18,8/24/2016 13:50:55
35499432,90,13,18,8/24/2016 13:51:59
35499433,90,13,18,8/24/2016 13:54:01
35499434,90,13,18,8/24/2016 13:55:01
35499435,90,13,18,8/24/2016 13:55:54
35499436,90,13,18,8/24/2016 13:56:56
35499437,90,13,18,8/24/2016 13:57:47
35499438,90,13,18,8/24/2016 13:59:01
35499439,90,13,18,8/24/2016 14:00:51
35499440,90,13,18,8/24/2016 14:02:01
35499441,90,13,18,8/24/2016 14:03:56
35499442,90,13,18,8/24/2016 14:04:52
35499443,90,13,18,8/24/2016 14:05:45
35499444,90,13,18,8/24/2016 14:07:01
35499445,90,13,18,8/24/2016 14:08:01
35499446,90,13,18,8/24/2016 14:09:01
35499447,90,13,18,8/24/2016 14:10:01
35499448,90,13,18,8/24/2016 14:11:00
35499449,90,13,18,8/24/2016 14:13:01
35499450,90,13,18,8/24/2016 14:14:01
35499451,90,13,18,8/24/2016 14:15:01
35499452,90,13,18,8/24/2016 14:16:37
35499453,90,13,18,8/24/2016 14:18:01
35499454,90,13,18,8/24/2016 14:18:54
35499455,90,13,18,8/24/2016 14:19:51
35499456,90,13,18,8/24/2016 14:21:00
35499457,90,13,18,8/24/2016 14:22:01
35499458,90,13,18,8/24/2016 14:23:49
35499459,90,13,18,8/24/2016 14:24:57
35499460,90,13,18,8/24/2016 14:25:56
35499461,90,13,18,8/24/2016 14:26:52
35499462,90,13,18,8/24/2016 14:28:01
35499463,90,13,18,8/24/2016 14:28:57
35499464,90,13,18,8/24/2016 14:29:50
35499465,90,13,18,8/24/2016 14:30:52
35499466,90,13,18,8/24/2016 14:32:51
35499467,90,13,18,8/24/2016 14:33:56
35499468,90,13,18,8/24/2016 14:35:37
35499469,90,13,18,8/24/2016 14:36:53
35499470,90,13,18,8/24/2016 14:38:53
35499471,90,13,18,8/24/2016 14:39:51
35499472,90,13,18,8/24/2016 14:41:01
35499473,90,13,18,8/24/2016 14:41:58
35499474,90,13,18,8/24/2016 14:42:58
35499475,90,13,18,8/24/2016 14:44:58
35499476,90,13,18,8/24/2016 14:45:54
35499477,90,13,18,8/24/2016 14:46:53
35499478,90,13,18,8/24/2016 14:48:01
35499479,90,13,18,8/24/2016 14:50:00
35499480,90,13,18,8/24/2016 14:51:00
35499481,90,13,18,8/24/2016 14:52:52
35499482,90,13,18,8/24/2016 14:53:59
35499483,90,13,18,8/24/2016 14:56:01
35499484,90,13,18,8/24/2016 14:56:59
35499485,90,13,18,8/24/2016 14:57:52
35499486,90,13,18,8/24/2016 14:59:01
35499487,90,13,18,8/24/2016 15:00:00
35499488,90,13,18,8/24/2016 15:00:55
35499489,90,13,18,8/24/2016 15:02:01
35499490,90,13,18,8/24/2016 15:03:01
35499491,90,13,18,8/24/2016 15:04:01
35499492,90,13,18,8/24/2016 15:04:57
35499493,90,13,18,8/24/2016 15:05:54
35499494,90,13,18,8/24/2016 15:08:00
35499495,90,13,18,8/24/2016 15:08:54
35499496,90,13,18,8/24/2016 15:09:55
35499497,90,13,18,8/24/2016 15:10:55
35499498,90,13,18,8/24/2016 15:12:01
35499499,90,13,18,8/24/2016 15:12:56
35499500,90,13,18,8/24/2016 15:14:01
35499501,90,13,18,8/24/2016 15:16:00
35499502,90,13,18,8/24/2016 15:16:53
35499503,90,13,18,8/24/2016 15:19:01
35499504,90,13,18,8/24/2016 15:20:52
35499505,90,13,18,8/24/2016 15:21:52
35499506,90,13,18,8/24/2016 15:22:52
35499507,90,13,18,8/24/2016 15:23:57
35499508,90,13,18,8/24/2016 15:24:55
35499509,90,13,18,8/24/2016 15:25:51
35499510,90,13,18,8/24/2016 15:26:52
35499511,90,13,18,8/24/2016 15:28:01
35499512,90,13,18,8/24/2016 15:28:52
35499513,90,13,18,8/24/2016 15:31:01
35499514,90,13,18,8/24/2016 15:32:59
35499515,90,13,18,8/24/2016 15:33:52
35499516,90,13,18,8/24/2016 15:35:01
35499517,90,13,18,8/24/2016 15:37:01
35499518,90,13,18,8/24/2016 15:37:57
35499519,90,13,18,8/24/2016 15:38:50
35499520,90,13,18,8/24/2016 15:40:01
35499521,90,13,18,8/24/2016 15:42:01
35499522,90,13,18,8/24/2016 15:43:01
35499523,90,13,18,8/24/2016 15:43:58
35499524,90,13,18,8/24/2016 15:45:57
35499525,90,13,18,8/24/2016 15:46:57
35499526,90,13,18,8/24/2016 15:47:53
35499527,90,13,18,8/24/2016 15:48:52
35499528,90,13,18,8/24/2016 15:49:54
35499529,90,13,18,8/24/2016 15:50:46
35499530,90,13,18,8/24/2016 15:51:37
35499531,90,13,18,8/24/2016 15:52:57
35499532,90,13,18,8/24/2016 15:53:52
35499533,90,13,18,8/24/2016 15:54:46
35499534,90,13,18,8/24/2016 15:55:55
35499535,90,13,18,8/24/2016 15:57:01
35499536,90,13,18,8/24/2016 15:58:48
35499537,90,13,18,8/24/2016 15:59:46
35499538,90,13,18,8/24/2016 16:00:40
35499539,90,13,18,8/24/2016 16:01:52
35499540,90,13,18,8/24/2016 16:03:01
35499541,90,13,18,8/24/2016 16:03:52
35499542,90,13,18,8/24/2016 16:05:00
35499543,90,13,18,8/24/2016 16:05:54
35499544,90,13,18,8/24/2016 16:06:50
35499545,90,13,18,8/24/2016 16:07:51
35499546,90,13,18,8/24/2016 16:08:47
35499547,90,13,18,8/24/2016 16:09:47
35499548,90,13,18,8/24/2016 16:10:49
35499549,90,13,18,8/24/2016 16:11:57
35499550,90,13,18,8/24/2016 16:14:01
35499551,90,13,18,8/24/2016 16:15:01
35499552,90,13,18,8/24/2016 16:15:59
35499553,90,13,18,8/24/2016 16:16:52
35499554,90,13,18,8/24/2016 16:17:51
35499555,90,13,18,8/24/2016 16:18:47
35499556,90,13,18,8/24/2016 16:19:57
35499557,90,13,18,8/24/2016 16:20:55
35499558,90,13,18,8/24/2016 16:22:01
35499559,90,13,18,8/24/2016 16:23:49
35499560,90,13,18,8/24/2016 16:25:01
35499561,90,13,18,8/24/2016 16:26:00
35499562,90,13,18,8/24/2016 16:27:01
35499563,90,13,18,8/24/2016 16:29:01
35499564,90,13,18,8/24/2016 16:31:01
35499565,90,13,18,8/24/2016 16:33:01
35499566,90,13,18,8/24/2016 16:34:01
35499567,90,13,18,8/24/2016 16:35:01
35499568,90,13,18,8/24/2016 16:36:01
35499569,90,13,18,8/24/2016 16:37:01
35499570,90,13,18,8/24/2016 16:37:55
35499571,90,13,18,8/24/2016 16:39:57
35499572,90,13,18,8/24/2016 16:40:56
35499573,90,13,18,8/24/2016 16:41:47
35499574,90,13,18,8/24/2016 16:42:55
35499575,90,13,18,8/24/2016 16:44:01
35499576,90,13,18,8/24/2016 16:46:01
35499577,90,13,18,8/24/2016 16:47:01
35499578,90,13,18,8/24/2016 16:48:01
35499579,90,13,18,8/24/2016 16:49:01
35499580,90,13,18,8/24/2016 16:50:01
35499581,90,13,18,8/24/2016 16:52:01
35499582,90,13,18,8/24/2016 16:52:55
35499583,90,13,18,8/24/2016 16:55:01
35499584,90,15,16,8/24/2016 16:56:01
35499585,90,17,14,8/24/2016 16:57:01
35499586,90,19,12,8/24/2016 16:59:00
35499587,90,21,10,8/24/2016 17:00:00
35499588,90,21,10,8/24/2016 17:02:01
35499589,90,21,10,8/24/2016 17:03:57
35499590,90,21,10,8/24/2016 17:05:40
35499591,90,21,10,8/24/2016 17:06:58
35499592,90,21,10,8/24/2016 17:08:00
35499593,90,21,10,8/24/2016 17:08:53
35499594,90,21,10,8/24/2016 17:09:58
35499595,90,21,10,8/24/2016 17:11:41
35499596,90,21,10,8/24/2016 17:12:56
35499597,90,21,10,8/24/2016 17:14:52
35499598,90,21,10,8/24/2016 17:15:56
35499599,90,21,10,8/24/2016 17:16:56
35499600,90,21,10,8/24/2016 17:19:01
35499601,90,21,10,8/24/2016 17:19:56
35499602,90,21,10,8/24/2016 17:20:55
35499603,90,21,10,8/24/2016 17:22:50
35499604,90,21,10,8/24/2016 17:23:57
35499605,90,21,10,8/24/2016 17:25:01
35499606,90,22,9,8/24/2016 17:26:01
35499607,90,23,8,8/24/2016 17:27:47
35499608,90,23,8,8/24/2016 17:28:56
35499609,90,23,8,8/24/2016 17:29:48
35499610,90,23,8,8/24/2016 17:31:58
35499611,90,23,8,8/24/2016 17:32:57
35499612,90,23,8,8/24/2016 17:34:01
35499613,90,23,8,8/24/2016 17:35:01
35499614,90,23,8,8/24/2016 17:35:54
35499615,90,23,8,8/24/2016 17:36:58
35499616,90,23,8,8/24/2016 17:38:01
35499617,90,23,8,8/24/2016 17:38:59
35499618,90,23,8,8/24/2016 17:39:51
35499619,90,23,8,8/24/2016 17:41:00
35499620,90,23,8,8/24/2016 17:42:00
35499621,90,23,8,8/24/2016 17:42:55
35499622,90,23,8,8/24/2016 17:44:01
35499623,90,23,8,8/24/2016 17:45:56
35499624,90,23,8,8/24/2016 17:48:00
35499625,90,23,8,8/24/2016 17:49:01
35499626,90,23,8,8/24/2016 17:49:55
35499627,90,23,8,8/24/2016 17:51:01
35499628,90,23,8,8/24/2016 17:52:00
35499629,90,23,8,8/24/2016 17:52:55
35499630,90,23,8,8/24/2016 17:53:58
